"feature","platform","outcome","value_unit","value","p_value","sig_marker","n_obs","model_file","source_row","reference_category","notes"
"__withdrawn__","ig","velocity_t72","n/a","n/a",,"n.s.",,,"tasks/02_findings/findings_modelling_velocity.txt: Decision 37",,"Instagram velocity withdrawn from RQ1 reporting (Decision 37); no IG velocity model anchored in the chapter"
"account_type","li","inclusion","chi-sq","chi-sq(1) = 0.11",0.735945158425371,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$pTerms.table[account_type]","fresh","omnibus Wald via pTerms.table (parametric factor)"
"avg_sentence_len","li","inclusion","pp","-1.9",0.370481658872613,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(avg_sentence_len)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=2.23; chi-sq=2.73; monotonic over IQR (q25=-0.523, q75=0.276 of avg_sentence_len)"
"caps_ratio","li","inclusion","pp","+1.1",0.471991531493908,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(caps_ratio)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.98; chi-sq=1.89; non-monotonic in IQR (q25=-0.717, q50=-0.0309, q75=0.561 of caps_ratio; link-range over q10..q90 = 0.09)"
"caps_word_count","li","inclusion","pp","-0.7",0.620778051398208,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(caps_word_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.25; monotonic over IQR (q25=-0.598, q75=0.0472 of caps_word_count)"
"cta_flag","li","inclusion","pp","-1.9",0.688892430617483,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[cta_flag]",,"binary; beta=-0.0813, SE=0.2030, z=-0.40"
"ellipsis_count","li","inclusion","shape-only","non-monotonic; peak at ellipsis_count=2.44, trough at ellipsis_count=12.79; link-scale range 3.66",0.218537015787274,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(ellipsis_count)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=-0.288); shape evaluated over q10..q90 instead; edf=2.13; chi-sq=4.06"
"emoji_count","li","inclusion","pp","+1.1",0.350367841281472,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(emoji_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.88; monotonic over IQR (q25=-0.59, q75=0.0462 of emoji_count)"
"exclamation_density","li","inclusion","shape-only","non-monotonic; peak at exclamation_density=22.70, trough at exclamation_density=-0.22; link-scale range 0.51",0.939789822211454,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(exclamation_density)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=-0.221); shape evaluated over q10..q90 instead; edf=1.12; chi-sq=0.08"
"flesch_available","li","inclusion","pp","+18.2",0.55024419096696,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[flesch_available]",,"binary; beta=0.7456, SE=1.2481, z=0.60"
"flesch_reading_ease","li","inclusion","pp","+2.5",0.316657362754864,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(flesch_reading_ease)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.02; chi-sq=1.01; monotonic over IQR (q25=-0.587, q75=0.647 of flesch_reading_ease)"
"follower_available","li","inclusion","pp","+0.7",0.878671583167237,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[follower_available]",,"binary; beta=0.0317, SE=0.2074, z=0.15"
"hashtag_count","li","inclusion","pp","-1.8",0.36463658417364,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(hashtag_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.83; monotonic over IQR (q25=-0.641, q75=0.465 of hashtag_count)"
"is_weekend","li","inclusion","pp","-3.9",0.392369236374706,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[is_weekend]",,"binary; beta=-0.1756, SE=0.2053, z=-0.86"
"lang","li","inclusion","chi-sq","chi-sq(1) = 0.00",0.999997894196356,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$pTerms.table[lang]","de","omnibus Wald via pTerms.table (parametric factor)"
"line_break_count","li","inclusion","pp","+2.3",0.44295945764161,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(line_break_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.01; chi-sq=0.62; monotonic over IQR (q25=-0.738, q75=0.414 of line_break_count)"
"local_hour","li","inclusion","shape-only","cyclic; peak ~23h / trough ~13h; link-scale range 0.00",0.951857338729282,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(local_hour)]",,"cyclic smooth (bs=cc); edf=0.01; chi-sq=0.00"
"log_follower","li","inclusion","shape-only","non-monotonic; peak at log_follower=-4.49, trough at log_follower=1.65; link-scale range 0.72",0.171994297908628,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(log_follower)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=0.128); shape evaluated over q10..q90 instead; edf=1.00; chi-sq=1.87"
"log_post_age","li","inclusion","pp","-8.7",4.14758094206547e-05,"***",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(log_post_age)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=3.05; chi-sq=26.34; monotonic over IQR (q25=-0.948, q75=0.909 of log_post_age)"
"media_type","li","inclusion","chi-sq","chi-sq(2.78) = 58.75",7.457e-13,"***",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","factor_omnibus_tests.csv [model=li_inclusion, feature=media_type]","article","omnibus from factor_omnibus_tests.csv (anova.gam two-model deviance test)"
"media_type:carousel","li","inclusion","pp","+13.0",0.15820728439438,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[media_typecarousel]","article","F1 per-level at platform baseline (0.360); beta=0.5354, SE=0.3794, z=1.41"
"media_type:document","li","inclusion","pp","+13.9",0.143943620844757,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[media_typedocument]","article","F1 per-level at platform baseline (0.360); beta=0.5712, SE=0.3909, z=1.46"
"media_type:image","li","inclusion","pp","-12.6",0.022257387130919,"*",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","factor_pp_per_level.csv [platform=linkedin, model_source=full, feature=media_type:image, level=image]","article","F1 per-level pp at platform baseline 0.360; beta=-0.6119, SE=0.2677"
"media_type:text","li","inclusion","pp","+13.5",0.11332315782692,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[media_typetext]","article","F1 per-level at platform baseline (0.360); beta=0.5564, SE=0.3514, z=1.58"
"media_type:video","li","inclusion","pp","+16.2",0.0127043124294877,"*",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","factor_pp_per_level.csv [platform=linkedin, model_source=full, feature=media_type:video, level=video]","article","F1 per-level pp at platform baseline 0.360; beta=0.6632, SE=0.2661"
"mention_count","li","inclusion","pp","-1.5",0.376717027859526,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[mention_count]",,"linear; beta=-0.0670, SE=0.0758, z=-0.88"
"punct_diversity","li","inclusion","pp","+2.1",0.213185795006996,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(punct_diversity)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.95; chi-sq=3.89; monotonic over IQR (q25=-0.699, q75=0.405 of punct_diversity)"
"question_density","li","inclusion","pp","-0.3",0.788642937678858,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(question_density)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; chi-sq=0.07; monotonic over IQR (q25=-0.451, q75=0.175 of question_density)"
"topic_cluster","li","inclusion","chi-sq","chi-sq(8.03) = 6.75",0.5673,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","factor_omnibus_tests.csv [model=li_inclusion, feature=topic_cluster]","1","omnibus from factor_omnibus_tests.csv (anova.gam two-model deviance test)"
"topic_cluster:10","li","inclusion","pp","+22.1",0.490368888779663,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster10]","1","F1 per-level at platform baseline (0.360); beta=0.9009, SE=1.3062, z=0.69"
"topic_cluster:2","li","inclusion","pp","-6.9",0.352817667370814,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster2]","1","F1 per-level at platform baseline (0.360); beta=-0.3163, SE=0.3404, z=-0.93"
"topic_cluster:3","li","inclusion","pp","+28.5",0.390855302968022,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster3]","1","F1 per-level at platform baseline (0.360); beta=1.1707, SE=1.3643, z=0.86"
"topic_cluster:4","li","inclusion","pp","-6.5",0.534956797453701,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster4]","1","F1 per-level at platform baseline (0.360); beta=-0.2970, SE=0.4787, z=-0.62"
"topic_cluster:5","li","inclusion","pp","-1.9",0.857711760302089,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster5]","1","F1 per-level at platform baseline (0.360); beta=-0.0856, SE=0.4777, z=-0.18"
"topic_cluster:6","li","inclusion","pp",,,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster6] + cell-count check","1","cell separation in fitting frame (n_top=0, n_baseline=1 at level=6); per-level not estimable"
"topic_cluster:7","li","inclusion","pp","+13.0",0.287047391600128,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster7]","1","F1 per-level at platform baseline (0.360); beta=0.5346, SE=0.5021, z=1.06"
"topic_cluster:8","li","inclusion","pp","-0.9",0.902737694536859,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster8]","1","F1 per-level at platform baseline (0.360); beta=-0.0406, SE=0.3320, z=-0.12"
"topic_cluster:9","li","inclusion","pp","-9.3",0.156506989332836,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_cluster9]","1","F1 per-level at platform baseline (0.360); beta=-0.4330, SE=0.3056, z=-1.42"
"topic_cluster:unknown","li","inclusion","pp",,,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$p.table[topic_clusterunknown] + cell-count check","1","coupled/rank-deficient separation in fitting frame (n_top=3, n_baseline=6 at level=unknown); per-level not estimable"
"url_count","li","inclusion","pp","+2.5",0.773193767650907,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(url_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=2.04; chi-sq=1.12; monotonic over IQR (q25=-0.398, q75=0.83 of url_count)"
"weekday","li","inclusion","shape-only","cyclic; peak ~Mon / trough ~Wed; link-scale range 0.00",0.75837115573427,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(weekday)]",,"cyclic smooth (bs=cc); edf=0.01; chi-sq=0.00"
"word_count","li","inclusion","pp","-1.5",0.760171487087184,"n.s.",1170,"05_modelling/05_gam/models/m_li_inclusion.rds","summary(m_li_inclusion)$s.table[s(word_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.01; chi-sq=0.10; monotonic over IQR (q25=-0.862, q75=0.61 of word_count)"
"account_type","li","rank","F","F(1) = 6.08",0.0140917002726235,"*",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$pTerms.table[account_type]","fresh","omnibus Wald via pTerms.table (parametric factor)"
"avg_sentence_len","li","rank","positions","+0.27",0.577418220115189,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(avg_sentence_len)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.67; F=0.55; monotonic over IQR (q25=-0.556, q75=0.286 of avg_sentence_len)"
"caps_ratio","li","rank","positions","-0.34",0.542041109714643,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(caps_ratio)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=0.37; monotonic over IQR (q25=-0.733, q75=0.551 of caps_ratio)"
"caps_word_count","li","rank","positions","+0.89",0.217272148497989,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(caps_word_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.96; F=1.72; monotonic over IQR (q25=-0.598, q75=0.0472 of caps_word_count)"
"cta_flag","li","rank","positions","+0.49",0.561766304804435,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[cta_flag]",,"binary; beta=0.4853, SE=0.8356, t=0.58"
"ellipsis_count","li","rank","shape-only","non-monotonic; peak at ellipsis_count=2.98, trough at ellipsis_count=-0.29; link-scale range 2.02",0.158853581399473,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(ellipsis_count)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=-0.288); shape evaluated over q10..q90 instead; edf=1.75; F=1.75"
"emoji_count","li","rank","positions","+0.01",0.949721545278859,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(emoji_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=0.00; monotonic over IQR (q25=-0.59, q75=0.0462 of emoji_count)"
"exclamation_density","li","rank","shape-only","non-monotonic; peak at exclamation_density=22.70, trough at exclamation_density=-0.22; link-scale range 8.83",0.151379798185976,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(exclamation_density)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=-0.221); shape evaluated over q10..q90 instead; edf=1.00; F=2.07"
"flesch_available","li","rank","positions","+0.74",0.899161305890969,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[flesch_available]",,"binary; beta=0.7400, SE=5.8355, t=0.13"
"flesch_reading_ease","li","rank","positions","-0.32",0.429234817816009,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(flesch_reading_ease)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=2.43; F=0.94; monotonic over IQR (q25=-0.553, q75=0.711 of flesch_reading_ease)"
"follower_available","li","rank","positions","-0.74",0.45276264679486,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[follower_available]",,"binary; beta=-0.7361, SE=0.9794, t=-0.75"
"hashtag_count","li","rank","positions","-0.05",0.890232009386438,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(hashtag_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=0.02; monotonic over IQR (q25=-0.641, q75=0.465 of hashtag_count)"
"is_weekend","li","rank","positions","-0.86",0.323246529749373,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[is_weekend]",,"binary; beta=-0.8556, SE=0.8651, t=-0.99"
"lang","li","rank","F","F(3) = 0.11",0.955117259921685,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$pTerms.table[lang]","de","omnibus Wald via pTerms.table (parametric factor)"
"line_break_count","li","rank","positions","-0.04",0.930158967731473,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(line_break_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=0.01; monotonic over IQR (q25=-0.799, q75=0.171 of line_break_count)"
"local_hour","li","rank","shape-only","cyclic; peak ~23h / trough ~12h; link-scale range 0.76",0.166719387469237,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(local_hour)]",,"cyclic smooth (bs=cc); edf=1.00; F=0.29"
"log_follower","li","rank","shape-only","non-monotonic; peak at log_follower=-2.34, trough at log_follower=1.65; link-scale range 3.53",0.157315463119482,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(log_follower)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=0.128); shape evaluated over q10..q90 instead; edf=2.26; F=1.66"
"log_post_age","li","rank","positions","+0.59",0.384165658618732,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(log_post_age)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=0.76; monotonic over IQR (q25=-1.19, q75=0.765 of log_post_age)"
"media_type","li","rank","F","F(5) = 4.98",0.000196501423014327,"***",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$pTerms.table[media_type]","article","omnibus Wald via pTerms.table (parametric factor)"
"media_type:carousel","li","rank","positions","+1.32",0.410581922176795,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[media_typecarousel]","article","F1 per-level at platform baseline (0.360); beta=1.3154, SE=1.5967, t=0.82"
"media_type:document","li","rank","positions","-0.89",0.552451236739053,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[media_typedocument]","article","F1 per-level at platform baseline (0.360); beta=-0.8886, SE=1.4944, t=-0.59"
"media_type:image","li","rank","positions","-1.57",0.159383122675087,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[media_typeimage]","article","F1 per-level at platform baseline (0.360); beta=-1.5664, SE=1.1110, t=-1.41"
"media_type:text","li","rank","positions","-1.93",0.163589777363679,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[media_typetext]","article","F1 per-level at platform baseline (0.360); beta=-1.9285, SE=1.3816, t=-1.40"
"media_type:video","li","rank","positions","-3.69",0.000995111134243896,"***",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[media_typevideo]","article","F1 per-level at platform baseline (0.360); beta=-3.6904, SE=1.1122, t=-3.32"
"mention_count","li","rank","positions","-0.02",0.958862099355905,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[mention_count]",,"linear; beta=-0.0214, SE=0.4138, t=-0.05"
"punct_diversity","li","rank","positions","+0.93",0.0972673117599582,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(punct_diversity)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=2.76; monotonic over IQR (q25=-0.618, q75=0.521 of punct_diversity)"
"question_density","li","rank","positions","-0.43",0.0248461363753182,"*",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(question_density)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=5.07; monotonic over IQR (q25=-0.451, q75=0.199 of question_density)"
"topic_cluster","li","rank","F","F(9) = 1.85",0.0580665343791117,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$pTerms.table[topic_cluster]","1","omnibus Wald via pTerms.table (parametric factor)"
"topic_cluster:10","li","rank","positions","-2.63",0.49526280739832,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster10]","1","F1 per-level at platform baseline (0.360); beta=-2.6295, SE=3.8520, t=-0.68"
"topic_cluster:2","li","rank","positions","+2.83",0.0486636034204389,"*",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster2]","1","F1 per-level at platform baseline (0.360); beta=2.8349, SE=1.4333, t=1.98"
"topic_cluster:3","li","rank","positions","-10.40",0.0162153731016048,"*",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster3]","1","F1 per-level at platform baseline (0.360); beta=-10.3995, SE=4.3064, t=-2.41"
"topic_cluster:4","li","rank","positions","-1.02",0.612736287074631,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster4]","1","F1 per-level at platform baseline (0.360); beta=-1.0154, SE=2.0043, t=-0.51"
"topic_cluster:5","li","rank","positions","+0.18",0.922545284798521,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster5]","1","F1 per-level at platform baseline (0.360); beta=0.1779, SE=1.8285, t=0.10"
"topic_cluster:7","li","rank","positions","-1.03",0.58761045470733,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster7]","1","F1 per-level at platform baseline (0.360); beta=-1.0269, SE=1.8920, t=-0.54"
"topic_cluster:8","li","rank","positions","-0.89",0.493717707786371,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster8]","1","F1 per-level at platform baseline (0.360); beta=-0.8911, SE=1.3007, t=-0.69"
"topic_cluster:9","li","rank","positions","+1.46",0.261450597616874,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_cluster9]","1","F1 per-level at platform baseline (0.360); beta=1.4606, SE=1.2987, t=1.12"
"topic_cluster:unknown","li","rank","positions","+9.44",0.196787983828955,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[topic_clusterunknown]","1","F1 per-level at platform baseline (0.360); beta=9.4447, SE=7.3042, t=1.29"
"url_count","li","rank","positions","-0.27",0.551199726894116,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$p.table[url_count]",,"linear; beta=-0.2734, SE=0.4584, t=-0.60"
"weekday","li","rank","shape-only","cyclic; peak ~Thu / trough ~Mon; link-scale range 0.00",0.6081846372302,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(weekday)]",,"cyclic smooth (bs=cc); edf=0.00; F=0.00"
"word_count","li","rank","positions","-1.37",0.0712583622599807,"n.s.",421,"05_modelling/05_gam/models/m_li_rank.rds","summary(m_li_rank)$s.table[s(word_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=3.27; monotonic over IQR (q25=-0.924, q75=0.433 of word_count)"
"account_type","li","velocity_t24","F","F(1) = 1.22",0.2707591073356,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$pTerms.table[account_type]","fresh","omnibus Wald via pTerms.table (parametric factor)"
"cta_flag","li","velocity_t24","percent","+3.0",0.425243564422868,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$p.table[cta_flag]",,"binary; beta=0.0293, SE=0.0367, t=0.80"
"emoji_count","li","velocity_t24","percent","-0.7",0.0194821063817782,"*",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$s.table[s(emoji_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=2.55; F=3.40; monotonic over IQR (q25=-0.59, q75=0.364 of emoji_count)"
"flesch_reading_ease","li","velocity_t24","percent","+0.6",0.699427443475886,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$s.table[s(flesch_reading_ease)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.00; F=0.15; monotonic over IQR (q25=-0.742, q75=0.542 of flesch_reading_ease)"
"hashtag_count","li","velocity_t24","percent","+0.5",0.684609824320197,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$s.table[s(hashtag_count)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=1.40; F=0.44; monotonic over IQR (q25=-0.641, q75=0.465 of hashtag_count)"
"is_weekend","li","velocity_t24","percent","+15.5",5.2750324289073e-06,"***",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$p.table[is_weekend]",,"binary; beta=0.1440, SE=0.0313, t=4.61"
"local_hour","li","velocity_t24","shape-only","cyclic; peak ~2h / trough ~14h; link-scale range 0.02",0.179388426632637,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$s.table[s(local_hour)]",,"cyclic smooth (bs=cc); edf=0.53; F=0.22"
"log_follower","li","velocity_t24","shape-only","non-monotonic; peak at log_follower=1.65, trough at log_follower=-4.34; link-scale range 0.55",0,"***",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$s.table[s(log_follower)] (q25==q75 in fitting frame; IQR delta degenerate)",,"predictor essentially constant over IQR (q25=q75=0.128); shape evaluated over q10..q90 instead; edf=2.14; F=16.66"
"log_post_age","li","velocity_t24","percent","-23.3",0,"***",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$s.table[s(log_post_age)] + IQR partial(q25,q75)",,"smooth IQR (q75-q25); edf=3.86; F=205.33; monotonic over IQR (q25=-0.565, q75=1 of log_post_age)"
"media_type","li","velocity_t24","F","F(5) = 0.18",0.97044020687335,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$pTerms.table[media_type]","article","omnibus Wald via pTerms.table (parametric factor)"
"media_type:carousel","li","velocity_t24","percent","+2.1",0.750358662573673,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$p.table[media_typecarousel]","article","F1 per-level at platform baseline (0.360); beta=0.0207, SE=0.0650, t=0.32"
"media_type:document","li","velocity_t24","percent","-0.8",0.901573077133456,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$p.table[media_typedocument]","article","F1 per-level at platform baseline (0.360); beta=-0.0080, SE=0.0647, t=-0.12"
"media_type:image","li","velocity_t24","percent","+2.0",0.682532535432539,"n.s.",507,"05_modelling/05_gam/models/m_li_velocity_24h.rds","summary(m_li_velocity_24h)$p.table[media_typeimage]","article","F1 per-level at platform baseline (0.360); beta=0.0201, SE=0.0491, t=0.41"
